condition,item,text,participant,conditionLabel,npType,voice,order,acoustics,stressshift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",559,Williams,full,passive,14,-1.80659769,noshift
1,15,"Daniel followed Betsy, then Daniel was followed by Betsy.",563,Williams,full,passive,15,-1.4862087,shift
1,16,"Samuel was charmed by the audience, and then Samuel charmed the audience.",24,Williams,full,active,15,-1.0682552,noshift
1,16,"Samuel was charmed by the audience, and then Samuel charmed the audience.",547,Williams,full,active,15,-1.62431063,shift
1,16,"Samuel was charmed by the audience, and then Samuel charmed the audience.",550,Williams,full,active,16,-1.75618853,noshift
1,16,"Samuel was charmed by the audience, and then Samuel charmed the audience.",555,Williams,full,active,14,-1.40517634,noshift
1,16,"Samuel was charmed by the audience, and then Samuel charmed the audience.",562,Williams,full,active,13,-1.85030194,noshift
1,2,"Clara loves the public, and Clara is loved by the public.",432,Williams,full,passive,3,-0.10219274,shift
1,2,"Clara loves the public, and Clara is loved by the public.",548,Williams,full,passive,1,-0.47935634,shift
1,2,"Clara loves the public, and Clara is loved by the public.",553,Williams,full,passive,4,-0.31363079,shift
1,2,"Clara loves the public, and Clara is loved by the public.",557,Williams,full,passive,2,0.79504333,shift
1,2,"Clara loves the public, and Clara is loved by the public.",560,Williams,full,passive,4,0.62187694,shift
1,3,"Ana was provoked by Derek, and  that's when Ana provoked Derek.",297,Williams,full,active,1,0.127375,noshift
1,3,"Ana was provoked by Derek, and  that's when Ana provoked Derek.",529,Williams,full,active,4,-1.40455878,shift
1,3,"Ana was provoked by Derek, and  that's when Ana provoked Derek.",542,Williams,full,active,2,-0.76957342,noshift
1,3,"Ana was provoked by Derek, and  that's when Ana provoked Derek.",552,Williams,full,active,1,-0.95427907,noshift
1,3,"Ana was provoked by Derek, and  that's when Ana provoked Derek.",556,Williams,full,active,2,-1.62578308,noshift
1,3,"Ana was provoked by Derek, and  that's when Ana provoked Derek.",563,Williams,full,active,4,-1.54427977,noshift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",24,Williams,full,passive,1,-1.88175606,shift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",524,Williams,full,passive,1,-0.73926245,shift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",541,Williams,full,passive,3,-1.35089334,noshift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",547,Williams,full,passive,3,-1.65977967,noshift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",550,Williams,full,passive,2,-1.9320478,shift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",555,Williams,full,passive,4,-0.97097992,noshift
1,4,"Darin kissed Sue, and later Darin was kissed by Sue.",562,Williams,full,passive,1,-1.09820684,shift
1,5,"Keren was embraced by a fan, and then Keren embraced a fan.",540,Williams,full,active,6,-1.16037739,noshift
1,5,"Keren was embraced by a fan, and then Keren embraced a fan.",544,Williams,full,active,5,-0.04832218,shift
1,5,"Keren was embraced by a fan, and then Keren embraced a fan.",549,Williams,full,active,5,-0.57967969,shift
1,5,"Keren was embraced by a fan, and then Keren embraced a fan.",554,Williams,full,active,7,0.26684158,shift
1,5,"Keren was embraced by a fan, and then Keren embraced a fan.",558,Williams,full,active,6,-1.50044975,noshift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",432,Williams,full,active,7,-2.00056041,noshift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",530,Williams,full,active,6,-1.30443817,noshift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",548,Williams,full,active,6,-0.32632278,shift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",553,Williams,full,active,7,-0.45565389,noshift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",557,Williams,full,active,7,-1.12861123,noshift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",560,Williams,full,active,6,-0.95342576,noshift
1,6,"Tom was greeted by Anthony, then Tom greeted Anthony.",564,Williams,full,active,7,-1.07052182,noshift
1,7,"George invited a cousin, and then George was invited by a cousin.",297,Williams,full,passive,5,-1.02798625,shift
1,7,"George invited a cousin, and then George was invited by a cousin.",529,Williams,full,passive,7,-1.8098459,noshift
1,7,"George invited a cousin, and then George was invited by a cousin.",542,Williams,full,passive,6,-1.50365485,shift
1,7,"George invited a cousin, and then George was invited by a cousin.",556,Williams,full,passive,5,-0.62852716,shift
1,7,"George invited a cousin, and then George was invited by a cousin.",559,Williams,full,passive,6,-1.15436864,noshift
1,8,"Laura was envied by Todd, and Laura envied Todd.",24,Williams,full,active,7,-0.37046713,shift
1,8,"Laura was envied by Todd, and Laura envied Todd.",541,Williams,full,active,5,-0.92433691,noshift
1,8,"Laura was envied by Todd, and Laura envied Todd.",547,Williams,full,active,7,-0.67265568,shift
1,8,"Laura was envied by Todd, and Laura envied Todd.",562,Williams,full,active,7,-1.27528998,noshift
1,9,"Helen praised a student, and then Helen was praised by a student.",544,Williams,full,passive,11,-0.07501081,shift
1,9,"Helen praised a student, and then Helen was praised by a student.",549,Williams,full,passive,11,-1.75185091,shift
1,9,"Helen praised a student, and then Helen was praised by a student.",554,Williams,full,passive,9,-1.86117383,shift
1,9,"Helen praised a student, and then Helen was praised by a student.",558,Williams,full,passive,11,-1.25651665,shift
1,9,"Helen praised a student, and then Helen was praised by a student.",561,Williams,full,passive,10,-0.95499338,shift
2,1,"Mary was hit by John, and then John was hit by Mary.",24,Contrast,full,passive,3,-0.38439605,shift
2,1,"Mary was hit by John, and then John was hit by Mary.",524,Contrast,full,passive,3,-0.73319619,noshift
2,1,"Mary was hit by John, and then John was hit by Mary.",541,Contrast,full,passive,1,0.12849895,noshift
2,1,"Mary was hit by John, and then John was hit by Mary.",547,Contrast,full,passive,2,-1.75979412,noshift
2,1,"Mary was hit by John, and then John was hit by Mary.",550,Contrast,full,passive,1,-0.76898734,noshift
2,1,"Mary was hit by John, and then John was hit by Mary.",555,Contrast,full,passive,2,-0.8141531,noshift
2,1,"Mary was hit by John, and then John was hit by Mary.",562,Contrast,full,passive,4,-1.03698997,noshift
2,10,"Linus counselled Lucy, and that's why Lucy decided to counsel Linus.",540,Contrast,full,active,9,-0.69611904,noshift
2,10,"Linus counselled Lucy, and that's why Lucy decided to counsel Linus.",544,Contrast,full,active,9,-1.78354611,noshift
2,10,"Linus counselled Lucy, and that's why Lucy decided to counsel Linus.",549,Contrast,full,active,10,-2.1769998,noshift
2,10,"Linus counselled Lucy, and that's why Lucy decided to counsel Linus.",554,Contrast,full,active,10,-1.49608057,noshift
2,10,"Linus counselled Lucy, and that's why Lucy decided to counsel Linus.",558,Contrast,full,active,12,-2.68280289,noshift
2,10,"Linus counselled Lucy, and that's why Lucy decided to counsel Linus.",561,Contrast,full,active,9,-0.44909467,noshift
2,11,"A classmate was mocked by Andrea, and later on Andrea was mocked by a classmate.",432,Contrast,full,passive,12,-2.12437516,noshift
2,11,"A classmate was mocked by Andrea, and later on Andrea was mocked by a classmate.",530,Contrast,full,passive,10,-1.63137412,shift
2,11,"A classmate was mocked by Andrea, and later on Andrea was mocked by a classmate.",548,Contrast,full,passive,11,-0.57719383,noshift
2,11,"A classmate was mocked by Andrea, and later on Andrea was mocked by a classmate.",553,Contrast,full,passive,10,-0.87378648,noshift
2,11,"A classmate was mocked by Andrea, and later on Andrea was mocked by a classmate.",557,Contrast,full,passive,11,-1.24379508,noshift
2,11,"A classmate was mocked by Andrea, and later on Andrea was mocked by a classmate.",564,Contrast,full,passive,9,-1.93082011,noshift
2,12,"The committee accused Henry, and afterwards Henry accused the committee.",297,Contrast,full,active,9,-1.26917101,noshift
2,12,"The committee accused Henry, and afterwards Henry accused the committee.",542,Contrast,full,active,9,-0.92645187,noshift
2,12,"The committee accused Henry, and afterwards Henry accused the committee.",552,Contrast,full,active,12,-1.40764124,noshift
2,12,"The committee accused Henry, and afterwards Henry accused the committee.",556,Contrast,full,active,12,-1.58959148,noshift
2,12,"The committee accused Henry, and afterwards Henry accused the committee.",563,Contrast,full,active,12,-1.37316299,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",24,Contrast,full,active,14,-1.07182641,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",524,Contrast,full,active,13,-1.87275327,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",541,Contrast,full,active,15,-1.28181415,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",547,Contrast,full,active,13,-1.60280191,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",550,Contrast,full,active,13,-1.82214435,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",555,Contrast,full,active,16,-1.61375983,noshift
2,13,"A colleague promoted Ron, and then the following week Ron promoted a colleague.",562,Contrast,full,active,15,-2.25809645,noshift
2,14,"Roger was kicked by Nina, and then Nina was kicked by Roger.",540,Contrast,full,passive,14,-0.35600569,noshift
2,14,"Roger was kicked by Nina, and then Nina was kicked by Roger.",544,Contrast,full,passive,16,-2.09842483,noshift
2,14,"Roger was kicked by Nina, and then Nina was kicked by Roger.",549,Contrast,full,passive,15,-2.61558902,noshift
2,14,"Roger was kicked by Nina, and then Nina was kicked by Roger.",554,Contrast,full,passive,14,-1.53020875,noshift
2,14,"Roger was kicked by Nina, and then Nina was kicked by Roger.",558,Contrast,full,passive,14,-0.99559575,noshift
2,14,"Roger was kicked by Nina, and then Nina was kicked by Roger.",561,Contrast,full,passive,15,-0.16156702,noshift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",432,Contrast,full,passive,14,-3.04740983,noshift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",530,Contrast,full,passive,15,-0.88154441,shift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",548,Contrast,full,passive,16,-1.12234137,noshift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",553,Contrast,full,passive,15,-0.81864611,noshift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",557,Contrast,full,passive,15,-0.60307252,noshift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",560,Contrast,full,passive,15,-0.17962791,noshift
2,15,"Betsy was followed by Daniel, then Daniel was followed by Betsy.",564,Contrast,full,passive,14,0.53738546,noshift
2,16,"The audience charmed Samuel, and then Samuel charmed the audience.",529,Contrast,full,active,16,-1.80027788,noshift
2,16,"The audience charmed Samuel, and then Samuel charmed the audience.",542,Contrast,full,active,14,-1.66981028,noshift
2,16,"The audience charmed Samuel, and then Samuel charmed the audience.",556,Contrast,full,active,14,-2.03957751,noshift
2,16,"The audience charmed Samuel, and then Samuel charmed the audience.",559,Contrast,full,active,13,-1.37988758,noshift
2,16,"The audience charmed Samuel, and then Samuel charmed the audience.",563,Contrast,full,active,14,-1.16164923,shift
2,2,"The public is loved by Clara, and Clara is loved by the public.",540,Contrast,full,passive,4,-0.84174321,noshift
2,2,"The public is loved by Clara, and Clara is loved by the public.",549,Contrast,full,passive,3,-0.64417072,noshift
2,2,"The public is loved by Clara, and Clara is loved by the public.",558,Contrast,full,passive,2,-0.74572327,noshift
2,2,"The public is loved by Clara, and Clara is loved by the public.",561,Contrast,full,passive,3,0.98028463,noshift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",432,Contrast,full,active,4,0.09632964,shift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",530,Contrast,full,active,4,-0.50176327,noshift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",548,Contrast,full,active,3,0.11860131,shift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",553,Contrast,full,active,2,-0.93081448,noshift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",557,Contrast,full,active,4,-0.44293394,noshift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",560,Contrast,full,active,3,-0.80457905,noshift
2,3,"Derek provoked Ana, and that's when Ana provoked Derek.",564,Contrast,full,active,4,-0.9937624,noshift
2,4,"Sue was kissed by Darin, and later Darin was kissed by Sue.",297,Contrast,full,passive,2,-0.90607808,noshift
2,4,"Sue was kissed by Darin, and later Darin was kissed by Sue.",529,Contrast,full,passive,2,-2.26858038,noshift
2,4,"Sue was kissed by Darin, and later Darin was kissed by Sue.",542,Contrast,full,passive,4,-1.88472621,noshift
2,4,"Sue was kissed by Darin, and later Darin was kissed by Sue.",556,Contrast,full,passive,1,-1.27371671,noshift
2,4,"Sue was kissed by Darin, and later Darin was kissed by Sue.",559,Contrast,full,passive,2,-2.37622633,noshift
2,4,"Sue was kissed by Darin, and later Darin was kissed by Sue.",563,Contrast,full,passive,2,-1.37620945,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",24,Contrast,full,active,6,-1.43095176,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",524,Contrast,full,active,7,-0.85780309,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",541,Contrast,full,active,8,-0.20061923,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",547,Contrast,full,active,6,-0.53805482,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",550,Contrast,full,active,7,-0.81116487,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",555,Contrast,full,active,6,-2.12623873,noshift
2,5,"A fan embraced Keren, and then Keren embraced a fan.",562,Contrast,full,active,6,-1.3778648,noshift
2,6,"Anthony greeted Tom, then Tom greeted Anthony.",540,Contrast,full,active,7,-1.09948608,noshift
2,6,"Anthony greeted Tom, then Tom greeted Anthony.",544,Contrast,full,active,8,-1.09753979,noshift
2,6,"Anthony greeted Tom, then Tom greeted Anthony.",549,Contrast,full,active,6,-0.37953149,noshift
2,6,"Anthony greeted Tom, then Tom greeted Anthony.",554,Contrast,full,active,5,-1.47515941,noshift
2,6,"Anthony greeted Tom, then Tom greeted Anthony.",558,Contrast,full,active,5,-2.28297764,noshift
2,6,"Anthony greeted Tom, then Tom greeted Anthony.",561,Contrast,full,active,7,-0.95550978,noshift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",432,Contrast,full,passive,5,-2.14676728,noshift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",530,Contrast,full,passive,7,-1.319598,shift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",548,Contrast,full,passive,8,-0.20285012,noshift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",553,Contrast,full,passive,8,-0.80503763,noshift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",557,Contrast,full,passive,6,-0.81636918,noshift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",560,Contrast,full,passive,5,-0.48332249,noshift
2,7,"A cousin was invited by George, and then George was invited by a cousin.",564,Contrast,full,passive,8,-0.85284507,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",297,Contrast,full,active,8,-0.76108587,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",529,Contrast,full,active,5,-1.80118046,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",542,Contrast,full,active,5,-0.81000962,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",552,Contrast,full,active,7,-1.4787624,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",556,Contrast,full,active,7,-0.95975654,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",559,Contrast,full,active,7,-1.10675572,noshift
2,8,"Todd envied Laura, and Laura envied Todd.",563,Contrast,full,active,5,-0.76249015,noshift
2,9,"A student was praised by Helen, and then Helen was praised by a student.",24,Contrast,full,passive,11,-2.09719722,noshift
2,9,"A student was praised by Helen, and then Helen was praised by a student.",524,Contrast,full,passive,9,-0.51341117,noshift
2,9,"A student was praised by Helen, and then Helen was praised by a student.",541,Contrast,full,passive,11,-0.96020852,noshift
2,9,"A student was praised by Helen, and then Helen was praised by a student.",550,Contrast,full,passive,10,-2.54042865,noshift
2,9,"A student was praised by Helen, and then Helen was praised by a student.",555,Contrast,full,passive,11,-1.70598445,noshift
2,9,"A student was praised by Helen, and then Helen was praised by a student.",562,Contrast,full,passive,9,-2.0784588,noshift
3,1,"John hit her, and then John was hit by her.",297,Williams,pronoun,passive,4,0.1509817,shift
3,1,"John hit her, and then John was hit by her.",529,Williams,pronoun,passive,1,-1.21133919,shift
3,1,"John hit her, and then John was hit by her.",542,Williams,pronoun,passive,1,-0.5657448,shift
3,1,"John hit her, and then John was hit by her.",552,Williams,pronoun,passive,4,1.10903617,shift
3,1,"John hit her, and then John was hit by her.",556,Williams,pronoun,passive,3,-0.04033831,shift
3,1,"John hit her, and then John was hit by her.",563,Williams,pronoun,passive,1,-1.22548858,noshift
3,10,"Lucy was counselled by him, and that's why Lucy decided to counsel him.",24,Williams,pronoun,active,12,0.11229104,shift
3,10,"Lucy was counselled by him, and that's why Lucy decided to counsel him.",541,Williams,pronoun,active,9,-0.21320062,shift
3,10,"Lucy was counselled by him, and that's why Lucy decided to counsel him.",547,Williams,pronoun,active,9,-0.34845525,noshift
3,10,"Lucy was counselled by him, and that's why Lucy decided to counsel him.",550,Williams,pronoun,active,9,0.39746739,shift
3,10,"Lucy was counselled by him, and that's why Lucy decided to counsel him.",555,Williams,pronoun,active,9,-0.41243737,shift
3,10,"Lucy was counselled by him, and that's why Lucy decided to counsel him.",562,Williams,pronoun,active,12,0.7110727,shift
3,11,"Andrea mocked her, and later on Andrea was mocked by her.",540,Williams,pronoun,passive,12,0.57042779,shift
3,11,"Andrea mocked her, and later on Andrea was mocked by her.",544,Williams,pronoun,passive,12,0.7839761,shift
3,11,"Andrea mocked her, and later on Andrea was mocked by her.",549,Williams,pronoun,passive,12,-0.37275629,shift
3,11,"Andrea mocked her, and later on Andrea was mocked by her.",554,Williams,pronoun,passive,12,-0.55082287,noshift
3,11,"Andrea mocked her, and later on Andrea was mocked by her.",558,Williams,pronoun,passive,9,0.28938817,noshift
3,11,"Andrea mocked her, and later on Andrea was mocked by her.",561,Williams,pronoun,passive,11,1.32327152,shift
3,12,"Henry was accused by them, and afterwards Henry accused them.",432,Williams,pronoun,active,11,-1.97394003,noshift
3,12,"Henry was accused by them, and afterwards Henry accused them.",530,Williams,pronoun,active,12,-1.19642951,noshift
3,12,"Henry was accused by them, and afterwards Henry accused them.",553,Williams,pronoun,active,9,-0.10566591,shift
3,12,"Henry was accused by them, and afterwards Henry accused them.",557,Williams,pronoun,active,9,-1.09394036,noshift
3,12,"Henry was accused by them, and afterwards Henry accused them.",560,Williams,pronoun,active,10,-0.50555784,noshift
3,12,"Henry was accused by them, and afterwards Henry accused them.",564,Williams,pronoun,active,11,-1.14544211,shift
3,13,"Ron was promoted by her, and then the following week Ron promoted her.",297,Williams,pronoun,active,14,-1.11193186,noshift
3,13,"Ron was promoted by her, and then the following week Ron promoted her.",529,Williams,pronoun,active,14,-1.26176831,noshift
3,13,"Ron was promoted by her, and then the following week Ron promoted her.",542,Williams,pronoun,active,16,-0.69172957,shift
3,13,"Ron was promoted by her, and then the following week Ron promoted her.",552,Williams,pronoun,active,15,-0.52915403,shift
3,13,"Ron was promoted by her, and then the following week Ron promoted her.",556,Williams,pronoun,active,15,-0.17167989,shift
3,13,"Ron was promoted by her, and then the following week Ron promoted her.",559,Williams,pronoun,active,15,-0.5517054,noshift
3,14,"Nina kicked him, then Nina was kicked by him.",24,Williams,pronoun,passive,16,0.76326726,shift
3,14,"Nina kicked him, then Nina was kicked by him.",524,Williams,pronoun,passive,15,0.35379829,shift
3,14,"Nina kicked him, then Nina was kicked by him.",541,Williams,pronoun,passive,14,-0.0934064,shift
3,14,"Nina kicked him, then Nina was kicked by him.",547,Williams,pronoun,passive,14,-0.98445653,shift
3,14,"Nina kicked him, then Nina was kicked by him.",550,Williams,pronoun,passive,15,-0.31581662,shift
3,14,"Nina kicked him, then Nina was kicked by him.",555,Williams,pronoun,passive,13,0.00664237,shift
3,14,"Nina kicked him, then Nina was kicked by him.",562,Williams,pronoun,passive,14,-0.01504533,shift
3,15,"Daniel followed her, then Daniel was followed by her.",540,Williams,pronoun,passive,13,0.29814076,noshift
3,15,"Daniel followed her, then Daniel was followed by her.",544,Williams,pronoun,passive,14,-0.16207784,shift
3,15,"Daniel followed her, then Daniel was followed by her.",549,Williams,pronoun,passive,14,-0.16845492,shift
3,15,"Daniel followed her, then Daniel was followed by her.",554,Williams,pronoun,passive,15,-1.16302654,shift
3,15,"Daniel followed her, then Daniel was followed by her.",561,Williams,pronoun,passive,14,0.9117648,shift
3,16,"Samuel was charmed by them, and then Samuel charmed them.",432,Williams,pronoun,active,16,-0.77229855,noshift
3,16,"Samuel was charmed by them, and then Samuel charmed them.",530,Williams,pronoun,active,16,1.04891377,shift
3,16,"Samuel was charmed by them, and then Samuel charmed them.",553,Williams,pronoun,active,16,0.71700525,shift
3,16,"Samuel was charmed by them, and then Samuel charmed them.",557,Williams,pronoun,active,13,0.34599684000000003,noshift
3,16,"Samuel was charmed by them, and then Samuel charmed them.",560,Williams,pronoun,active,14,0.33902795,noshift
3,16,"Samuel was charmed by them, and then Samuel charmed them.",564,Williams,pronoun,active,13,0.43045933,shift
3,2,"Clara loves them, and Clara is loved by them.",24,Williams,pronoun,passive,4,-0.1487971,shift
3,2,"Clara loves them, and Clara is loved by them.",541,Williams,pronoun,passive,2,0.82716225,shift
3,2,"Clara loves them, and Clara is loved by them.",547,Williams,pronoun,passive,4,-0.61853694,shift
3,2,"Clara loves them, and Clara is loved by them.",550,Williams,pronoun,passive,3,-0.10725418,shift
3,2,"Clara loves them, and Clara is loved by them.",555,Williams,pronoun,passive,3,-0.25199329,shift
3,2,"Clara loves them, and Clara is loved by them.",562,Williams,pronoun,passive,3,-0.29939704,shift
3,3,"Ana was provoked by him, and that's when Ana provoked him.",549,Williams,pronoun,active,2,-0.19714759,shift
3,3,"Ana was provoked by him, and that's when Ana provoked him.",554,Williams,pronoun,active,4,0.72365398,shift
3,3,"Ana was provoked by him, and that's when Ana provoked him.",558,Williams,pronoun,active,4,0.36855236,shift
3,3,"Ana was provoked by him, and that's when Ana provoked him.",561,Williams,pronoun,active,4,-0.05213031,noshift
3,4,"Darin kissed her, and later Darin was kissed by her.",432,Williams,pronoun,passive,1,-0.67878978,shift
3,4,"Darin kissed her, and later Darin was kissed by her.",530,Williams,pronoun,passive,2,0.08584009,shift
3,4,"Darin kissed her, and later Darin was kissed by her.",548,Williams,pronoun,passive,4,0.96694066,shift
3,4,"Darin kissed her, and later Darin was kissed by her.",557,Williams,pronoun,passive,1,0.23981922,shift
3,4,"Darin kissed her, and later Darin was kissed by her.",560,Williams,pronoun,passive,2,-0.10723645,shift
3,4,"Darin kissed her, and later Darin was kissed by her.",564,Williams,pronoun,passive,3,-0.61360676,noshift
3,5,"Keren was embraced by him, and then Keren embraced him.",297,Williams,pronoun,active,6,-1.12186913,noshift
3,5,"Keren was embraced by him, and then Keren embraced him.",529,Williams,pronoun,active,8,0.399499,shift
3,5,"Keren was embraced by him, and then Keren embraced him.",542,Williams,pronoun,active,7,-0.64727501,shift
3,5,"Keren was embraced by him, and then Keren embraced him.",552,Williams,pronoun,active,5,0.19601966,shift
3,5,"Keren was embraced by him, and then Keren embraced him.",556,Williams,pronoun,active,8,0.58484827,shift
3,5,"Keren was embraced by him, and then Keren embraced him.",559,Williams,pronoun,active,5,-0.50366779,shift
3,6,"Tom was greeted by him, then Tom greeted him.",24,Williams,pronoun,active,8,-0.66968386,noshift
3,6,"Tom was greeted by him, then Tom greeted him.",541,Williams,pronoun,active,7,-0.4115471,shift
3,6,"Tom was greeted by him, then Tom greeted him.",547,Williams,pronoun,active,5,-0.97428309,noshift
